Cote,Numéro du reportage,Titre,Date,Photographe(s)
20100562/696,4510,"""Cocktail offert par Madame Jacques CHIRAC en l'honneur des stagiaires de l'association du Pont-Neuf""",2005-10-25,
20100562/697,4511,"""Entretien suivi d'un déjeuner offert par Monsieur le Président de la République en l'honneur d’Alpha Oumar Konare Président de la Commission de l'union Africaine""",2005-10-26,
20100562/698,4512,"""Entretien avec Saad HARIRI du Mouvement pour le Futur du LIBAN""",2005-10-26,
20100562/699,4513,"""Réunion informelle des Chefs d'états et de Gouvernement de l'Union Européenne HAMTON COURT-LONDRES""",2005-10-27,
20100562/700,4514,"""Interview RESTO DU CŒUR""",2005-10-28,
20100562/701,4515,"""Déplacement de Monsieur le Président de la République à SHIRMECK et au STRUTHOF""",2005-11-03,
20100562/702,4516,"""Entretien de Monsieur le Président de la République avec son excellence CHEIKH HAMAD JASSEM AL THANI Premier vice premier ministre et Ministre des Affaires étrangères de l’État du QATAR""",2005-11-04,
20100562/703,4517,"""Déjeuner offert en l'honneur de TASSOS PADADOPOULOS Président de la République de CHYPRE""",2005-11-04,
20100562/704,4519,"""Déclaration de Monsieur le Président de la République sur la Sécurité""",2005-11-06,
20100562/705,4520,"""Entretien avec KOFI ANNAN secrétaire général de l'ONU""",2005-11-07,
20100562/706,4522,"""Remise de lettres de créance : Monsieur FRANCISCO MIRO QUESADA RADA ambassadeur de la République du PEROU et Monsieur MISSOUM SBIH ambassadeur de la République démocratique et populaire d'ALGERIE""",2005-11-07,
20100562/707,4523,"""Entretien et Signature d'accord et déjeuner avec le Prince ALBERT II, Prince souverain de MONACO""",2005-11-08,
20100562/708,4524,"""Goûter offert par Madame Jacques CHIRAC à des collégiens de CORREZE""",2005-11-08,
20100562/709,4525,"""Entretien de Monsieur le Président de la République avec Messieurs les députés WARSMANN et MARITON""",2005-11-08,
20100562/710,4526,"""Lancement de l'historial CHARLES DE GAULLE aux Invalides par Monsieur Le Président de la République""",2005-11-09,
20100562/711,4527,"""Sommet franco-espagnol""",2005-11-10,
20100562/712,4528,"""Cérémonies du 11 Novembre 2005 : Place Charles de Gaulle et Place Clémenceau""",2005-11-11,
20100562/713,4529,"""Souper offert par Madame Jacques CHIRAC en l'honneur de Monsieur Etienne VATELOT Luthier""",2005-11-13,
20100562/714,4530,"""Entretien du Président, au cours d'un déjeuner de travail, avec Ali Abdallah SALEH, Président de la République du Yémen, au Palais de l'Elysée, lors de sa visite officielle""",2005-11-14,
20100562/715,4531,"""Entretien de Madame Jacques CHIRAC avec Madame Kateryna IOUCHTCHENKO épouse du Président Ukrainien""",2005-11-14,
20100562/716,4532,"""Déclaration de Monsieur le Président de la République sur les VIOLENCES URBAINES""",2005-11-14,
20100562/717,4533,"""Entretien de Monsieur le Président de la République avec IVO SANNADER Premier ministre de la République de CROATIE""",2005-11-15,
20100562/718,4534,"""Entretien de Monsieur le Président de la République avec PAUL WOLFOWITZ président de la Banque mondiale""",2005-11-15,
20100562/719,4535,"""Entretien de Monsieur le Président de la République avec VIKTOR IOUCHTCHENKO Président de l'UKRAINE""",2005-11-16,
20100562/720,4536,"""Entretien de Monsieur le Président de la République avec Claire BRISSET Défenseure des Enfants""",2005-11-17,
20100562/721,4537,"""Entretien avec SAMUEL SCHMID président de la Confédération SUISSE""",2005-11-18,
20100562/722,4538,"""Rencontre avec les lauréats de l'opération ' TALENTS DES CITES'""",2005-11-18,
20100562/723,4539,"""Réunion du Haut conseil de la mémoire combattante""",2005-11-18,
20100562/724,4540,"""Entretien avec le prince BANDAR BIN SULTAN secrétaire général du Conseil de Sécurité Nationale d' ARABIE SAOUDITE et SAAD HARIRI""",2005-11-20,
20100562/725,4541,"""Entretien avec le grand Rabbin SITRUK""",2005-11-20,
20100562/726,4542,"""Entretien suivi d'un déjeuner offert en l'honneur de TRAIAN BASESCU président de ROUMANIE par Monsieur le Président de la République""",2005-11-21,
20100562/727,4543,"""Réunion avec le bureau de l'association des Maires de France et le représentant des commissions Ville et Logement""",2005-11-21,
20100562/728,4544,"""Propos de Monsieur le Président de la République à l'issue de la réunion avec le bureau de l'association des maires de France et les représentants des commissions Ville et Logement""",2005-11-21,
20100562/729,4545,"""Rencontre avec les partenaires sociaux sur la diversité et l'emploi des jeunes des quartiers en difficulté""",2005-11-22,
20100562/730,4546,"""Rencontre du président de la République avec des chaînes nationales de télévision sur la représentation à l'antenne de la diversité de la société française""",2005-11-22,
20100562/731,4547,"""Entretien suivi d'un déjeuner offert par Monsieur le président de la République en l'honneur d’Angela MERKEL Chancelière de la République Fédérale d'Allemagne""",2005-11-23,
20100562/732,4548,"""Déplacement de Monsieur le Président de la République au centre de formation de Véolia Environnement à JOUY LE MOUTIER""",2005-11-24,
20100562/733,4549,"""Entretien avec IDRISS DEBY Président de la République du TCHAD""",2005-11-25,
20100562/734,4550,"""Entretien suivi d'un déjeuner offert en l'honneur du Président du BENIN et de Madame Mathieu KEREKOU""",2005-11-25,
20100562/735,4551,"""Visite du Salon handicap""",2005-11-25,
20100562/736,4552,"""Sommet Euro-Méditerranée""",2005-11-27,
20100562/737,4554,"""Entretien de Monsieur le Président de la République avec LEE HSIEN LOONG Premier ministre de la République de Singapour""",2005-11-29,
20100562/738,4556,"""Anniversaire du Président de la République""",2005-11-29,
20100562/739,4557,"""Apéritif offert en l'honneur des Parlementaires""",2005-11-30,
20100562/740,4558,"""Rencontre sur la prévention du SIDA dans l'Éducation nationale en présence de Monsieur le Président de la République""",2005-11-30,
20100562/741,4560,"""23ème sommet Afrique-France (MALI BAMAKO)""",2005-12-02,
20100562/742,4561,"""Entretien restreint suivi d'un entretien élargi avec WEN JIABO Premier ministre de la République Populaire de Chine""",2005-12-05,
20100562/743,4562,"""Réception en l’honneur de l’association Pont Neuf par Madame Jacques CHIRAC""",2005-12-05,
20100562/744,4564,"""Entretien avec JOAO MANUEL BARROSO Président de la Commission Européenne""",2005-12-08,
20100562/745,4565,"""Rencontre franco-allemande à Berlin Glienicke avec Angela MERKEL Chancelière de la République Fédérale d'Allemagne et Monsieur le Président de la République""",2005-12-08,
20100562/746,4566,"""Remise du rapport annuel de la CNIL par Monsieur Alex TURK""",2005-12-09,
20100562/747,4567,"""Déclaration de Monsieur Jacques CHIRAC Président de la République à propos de la loi du 23 Février 2005""",2005-12-09,
20100562/748,4568,"""Remise de lettres de créance : RADNAABAZAR ALTANGEREL ambassadeur de MONGOLIE, MARCELO FERNANDEZ DE CORDOBA PONCE ambassadeur de la République d’EQUATEUR, JEAN DE DIEU MOLEKA LIAMBI ambassadeur de la République démocratique du CONGO, AMANJOL JANKULIYEV ambassadeur de la République du KAZAKHSTAN, OSMAN TANEY KORUTURK ambassadeur de la République de TURQUIE""",2005-12-09,
20100562/749,4570,"""50 questions des Français au Président de la république au journal LE PARISIEN""",2005-12-11,
20100562/750,4571,"""Réunion du Haut Comité pour le logement des personnes défavorisées""",2005-12-12,
20100562/751,4572,"""Entretien avec JEAN PETER BALKENENDE Premier ministre du Royaume des Pays-Bas""",2005-12-12,
20100562/752,4573,"""Entretien avec monsieur MIRO IVO JOVIC (Croatie), Monsieur SULEJMAN TIHIC (Bosnie), Monsieur BORILAV PARAVAC (Serbie), membres de la Présidence collégiale tournante de BOSNIE HERZEGOVINE""",2005-12-12,
20100562/753,4574,"""Entretien avec Sa Majesté MOHAMMED VI roi du Maroc""",2005-12-13,
20100562/754,4575,"""Noël de la crèche""",2005-12-13,
20100562/755,4576,"""Arbre de Noël de l'Élysée""",2005-12-14,
20100562/756,4577,"""Conseil européen à BRUXELLES""",2005-12-15,
20100562/757,4579,"""Entretien avec BORIS TADIC Président de SERBIE""",2005-12-19,
20100562/758,4580,"""Entretien de Monsieur le Président de la République avec ASSIA DJEBAR et le Professeur POULIQUEN membres de l'Académie Française""",2005-12-19,
20100562/759,4581,"""Vœux de Monsieur le Président de la République aux Français""",2005-12-31,
20100562/760,4582,"""Cérémonie des vœux : Salut au drapeau""",2006-01-03,
20100562/761,4583,"""Vœux au Gouvernement""",2006-01-03,
20100562/762,4584,"""Vœux au Conseil constitutionnel""",2006-01-03,
20100562/763,4585,"""Présentation des vœux : bureau du sénat/Assemblée nationale/Conseil économique et social""",2006-01-03,
20100562/764,4586,"""Vœux à la presse""",2006-01-04,
20100562/765,4587,"""Déjeuner offert en l'honneur de MOHAMED HOSNI MOUBARAK Président de la République arabe d'Égypte""",2006-01-04,
20100562/766,4588,"""Vœux aux forces vives""",2006-01-05,
20100562/767,4589,"""Vœux aux autorités religieuses""",2006-01-05,
20100562/768,4590,"""Vœux de la mairie de Paris""",2006-01-05,
20100562/769,4591,"""Cérémonie des vœux aux fonctionnaires et agents de l'État, (Préfecture de la région Lorraine) en présence de Monsieur le Président de la République""",2006-01-06,
20100562/770,4592,"""Entretien avec EVO MORALES Président élu de la Bolivie""",2006-01-06,
20100562/771,4593,"""Entretien avec WILLIAM JEFFERSON CLINTON ancien président des États-Unis d'Amérique et Président de la Fondation CLINTON""",2006-01-09,
20100562/772,4594,"""Vœux aux armées""",2006-01-09,
20100562/773,4595,"""Vœux aux anciens combattants""",2006-01-09,
20100562/774,4596,"""Entretien avec le Prince Saoud Al Faysal Bin Abdulaziz Al Saoud, ministre des Affaires étrangères d'Arabie Saoudite""",2006-01-09,
20100562/775,4597,"""Vœux des Hauts représentants et ambassadeurs des États ayant conclu avec la France des Accords Particuliers""",2006-01-10,
20100562/776,4598,"""Vœux du Corps Diplomatique""",2006-01-10,
20100562/777,4600,"""Entretien avec SAAD HARIRI Président du mouvement du futur libanais""",2006-01-12,
20100562/778,4601,"""Remise de la galette des rois""",2006-01-12,
20100562/779,4602,"""Enregistrement télévisé de la TV russe pour un documentaire sur BORIS ELTSINE""",2006-01-13,
20100562/780,4603,"""Déplacement de Monsieur le Président et de Madame Jacques CHIRAC à l'occasion des vœux aux corréziens""",2006-01-14,
20100562/781,4604,"""ANTONIO MANUEL DE OLIVEIRA GUTERRES Haut commissaire des Nations Unis pour les réfugiés ancien Premier ministre de la République du Portugal""",2006-01-17,
20100562/782,4605,"""Club du 4 novembre""",2006-01-17,
20100562/783,4606,"""Réception offerte par Monsieur le Président de la République en l'honneur du Haut Conseil de la Francophonie""",2006-01-17,
20100562/784,4607,"""Visite aux armées : Force de dissuasion nucléaire LANDIVISIAU ET ILE LONGUE""",2006-01-19,
20100562/785,4608,"""Entretien de Monsieur le Président de la République avec JOSE ANGEL GURRIA TREVINO nommé secrétaire général de l' OCDE""",2006-01-20,
20100562/786,4610,"""Rencontre Franco-allemande à Versailles, inauguration de l'exposition "" Splendeur de la cour de Saxe, Dresde à Versailles""""",2006-01-23,
20100562/787,4611,"""Entretien avec TERJE ROED LARSEN représentant spécial du secrétaire général des Nations Unies pour le Liban""",2006-01-26,
20100562/788,4612,"""Remise de décoration par Monsieur le Président de la République au général Jack DOROL""",2006-01-26,
20100562/789,4614,"""Entretien avec CHEIKH HAMAD BIN KHALIFA AL THANI émir de l'Etat du QATAR""",2006-01-27,
20100562/790,4615,"""Photographies dans le bureau du Président de la République avec monsieur RIFFAUT""",2006-01-28,
20100562/791,4616,"""Photographies dans le bureau du Président de la République avec l'Adjudant SIMON André""",2006-01-28,
20100562/792,4617,"""Photographies dans le bureau du Président de la République avec le garde DAUBER""",2006-01-28,
20100562/793,4618,"""Entretien avec Pierre SHORI représentant spécial du secrétaire général des Nations Unies pour la Côte d'Ivoire""",2006-01-28,
20100562/794,4620,"""Pot de départ offert par le CSI en l'honneur du Préfet Philippe RIFFAUT""",2006-01-31,
20100562/795,4621,"""Entretien avec Jean Claude JUNCKER Premier ministre du Grand Duché de Luxembourg""",2006-02-01,
20100562/796,4622,"""Table ronde sur le micro-crédit en France""",2006-02-02,
20100562/797,4623,"""Entretien de Monsieur le Président de la République avec l'archevêque de PARIS Jean VINGT TROIS""",2006-02-02,
20100562/798,4624,"""Interview de Monsieur le Président de la République par la télévision libanaise ""FUTURE TV""""",2006-02-03,
20100562/799,4625,"""Frappe de la médaille réalisée à la mémoire de RAFIC HARRI à l'hôtel de la Monnaie""",2006-02-04,
20100562/800,4626,"""Entretien avec LI ZHAOXING ministre des Affaires étrangères de la République Populaire de CHINE""",2006-02-07,
20100562/801,4627,"""Entretien de Monsieur le Président de la République avec JORMA OLLLA Président directeur général de Nokia et son successeur Monsieur OLLI PEKKA KALLASSVUO""",2006-02-07,
20100562/802,4628,"""Photographies de famille dans la cour d'honneur à l'issue d'un entretien de représentants de la presse du Moyen Orient avec Monsieur BONNAFONT porte-parole du Président de la République""",2006-02-07,
20100562/803,4629,"""Entretien de Monsieur le Président de la République avec YACINE DIOUF""",2006-02-07,
20100562/804,4630,"""Interview de Monsieur le Président de la République par un journaliste THAILANDAIS""",2006-02-08,
20100562/805,4631,"""Entretien de Monsieur le Président de la République avec OMAR BONGO ONDIMBA Président de la République Gabonaise""",2006-02-09,
20100562/806,4632,"""Entretien de Monsieur le Président de la République avec ROBERT KOTCHARIAN Président de la République d'Arménie""",2006-02-10,
20100562/807,4633,"""Entretien de Monsieur le Président de la République avec ILHAM ALIEV Président de la République AZERBAIDJANAISE""",2006-02-10,
20100562/808,4634,"""Remise lettres de créance INDONESIE/MAURITANIE/YEMEN/OUZBEKISTAN/THAILANDE""",2006-02-10,
20100562/809,4635,"""Interview du Président par deux journalistes du ""INDIA TODAY""""",2006-02-13,
20100562/810,4636,"""Déjeuner offert par Madame Jacques CHIRAC en l'honneur de l'épouse de l'ambassadeur des États-Unis en France""",2006-02-14,
20100562/811,4637,"""Visite d'État de Monsieur le Président de la République et de Madame Jacques CHIRAC au Royaume de Thaïlande""",2006-02-17,
20100562/812,4638,"""Visite d'État de Monsieur le Président de la République et de Madame Jacques CHIRAC en République de l'Inde""",2006-02-19,
20100562/813,4639,"""Rencontre avec des parlementaires""",2006-02-23,
20100562/814,4640,"""Entretien de Monsieur le Président de la République avec Jean-Michel LEMATAYER Président de la FNSEA""",2006-02-23,
20100562/815,4641,"""Déplacement de Monsieur le Président de la République et de Madame Jacques CHIRAC à la grande Synagogue de la Victoire à l'occasion de la cérémonie à la mémoire d’Ilan HALIMI sous la présidence du Grand Rabbin de France""",2006-02-23,
20100562/816,4643,"""Entretien suivi d'un déjeuner offert en l'honneur de Lech KACZYNSKI Président de la République de Pologne""",2006-02-24,
20100562/817,4644,"""Entretien de Madame Jacques CHIRAC avec Madame Maria KACZYNSKA première dame de la République de Pologne""",2006-02-24,
20100562/818,4645,"""Inauguration du Salon de l'agriculture par le Président de la République en présence du ministre de l'agriculture""",2006-02-25,
20100562/819,4646,"""Cérémonie de remise de décorations à M.ROGER, le Prince AL SAOUD, M.PINTO, M.MUSELIER, M. DESCOINGS, MME NAT, M.GATTAZ, MME DE MENTHON, M.FITOUSSI, MME PINEAU, MME ENNCEIRI.""",2006-02-27,
20100562/820,4647,"""Entretien de Monsieur le président de la République avec KOFI ANNAN secrétaire général de l'Organisation des Nations-Unies""",2006-02-28,
20100562/821,4648,"""Cérémonies d'ouverture de la conférence sur les financements innovants pour le développement et contre les grandes pandémies, suivie d'un déjeuner offert par Monsieur le Président de la République""",2006-02-28,
20100562/822,4649,"""Déjeuner de Madame Jacques Chirac avec ses collaborateurs""",2006-02-28,
20100562/823,4650,"""Entretien avec SASSON N'GUESSO Président de la République du CONGO et Président de l'Union Africaine""",2006-02-28,
20100562/824,4651,"""Entretien avec CELSO AMORIM ministre des Affaires étrangères du BRESIL""",2006-02-28,
20100562/825,4652,"""Interview de Monsieur le Président par Madame TAKIEDDINE du journal AL HAYAT""",2006-03-01,
20100562/826,4653,"""Réception à l'occasion du premier anniversaire de la promulgation de la charte sur l'environnement""",2006-03-01,
20100562/827,4655,"""Remise du Prix de l'Audace créatrice""",2006-03-02,
20100562/828,4656,"""Déjeuner avec les membres de l'équipe de France paralympique avant leur départ pour Turin""",2006-03-03,
20100562/829,4657,"""Visite d'État de Monsieur le Président et de Madame J.CHIRAC au royaume d'Arabie Saoudite""",2006-03-04,
20100562/830,4658,"""Remise du rapport annuel du conseil d'État par Renaud Denoix de Saint-Marc à Monsieur le Président de la République""",2006-03-07,
20100562/831,4659,"""Inauguration par Monsieur le Président de la République de la maison de la Mixité mise en place par "" NI PUTES NI SOUMISES""""",2006-03-08,
20100562/832,4659,"""Entretien avec Ellen JOHNSON-SIRLEAF Présidente de la République du LIBERIA""",2006-03-08,
20100562/833,4660,"""Déplacement de Monsieur le Président de la République à CANNES-MANDELIEU. Visites d'Alcatel Aliéna Space et inauguration du Boulevard Louise Moreau""",2006-03-09,
20100562/834,4661,"""Entretien avec LASZLO SOLYOM Président de la République de HONGRIE""",2006-03-10,
20100562/835,4662,"""Prise d'arme aux INVALIDES""",2006-03-10,
20100562/836,4664,"""6ème conseil des ministres franco-allemand""",2006-03-14,
20100562/837,4665,"""Réception offerte par Monsieur le Président de la République en l'honneur des écrivains francophones présents à l'occasion du Festival Francophone en France""",2006-03-15,
20100562/838,4666,"""Réunion de travail avec les élus de la Réunion et de Mayotte sur la lutte contre l'épidémie de CHIKUNGUNYA""",2006-03-16,
20100562/839,4667,"""Cérémonie de remise de décorations : Pierre MOINOT ; Janette BRUTELLE-DUBA ; Christian BOURGEOIS ; Mohammed BENKOUDA ; Serge EYROLLES ; Colette DI MATTEO ; Georges RAY JABALOT ; Mireille DARC ; Casimir STOPYRA ; Jean LECLANT ;Francis LABROUSSE ; serge BOUAT.""",2006-03-17,
20100562/840,4668,"""Entretien avec les deux rois de FUTUNA""",2006-03-17,
20100562/841,4669,"""Entretien avec GUY VERHOFSTADT Premier ministre de Belgique""",2006-03-20,
20100562/842,4670,"""Entretien de Monsieur le Président de la République avec Sa Majesté Abdullah II roi de Jordanie. Déjeuner offert en l'honneur du roi et la reine de Jordanie par Monsieur le Président de la République et Madame Jacques CHIRAC""",2006-03-20,
20100562/843,4671,"""Rencontre avec des parlementaires""",2006-03-21,
20100562/844,4672,"""Conseil Européen à BRUXELLES""",2006-03-23,
20100562/845,4673,"""Entretien avec Jean Paul DELEVOYE, médiateur de la République""",2006-03-27,
20100562/846,4674,"""Visite en France de CHEILH HAMAD BIN KHALIFA AL THANI émir de l’État du QATAR, visite de l'exposition "" De CORDOUE à SAMARCANDE""""",2006-03-27,
20100562/847,4675,"""Visite en France de CHEILH HAMAD BIN KHALIFA AL THANI émir de l’État du QATAR""",2006-03-27,
20100562/848,4676,"""Visite d'État en France du roi et de la reine d'Espagne Juan Carlos et Sofia""",2006-03-27,
20100562/849,4677,"""Visite de "" La Maison de SOLENN"" en présence de la reine Sofia d'Espagne""",2006-03-28,
20100562/850,4678,"""Visite par le roi et la reine d'Espagne d’AIRBUS INDUSTRIE à Toulouse après un déjeuner au Capitole""",2006-03-29,
20100562/851,4679,"""Entretien de monsieur le Président de la République avec NAVINCHANDRA RAMGOOLAM Premier ministre de la République de MAURICE""",2006-03-29,
20100562/852,4680,"""Concert du bicentenaire de la Maison de la Légion d'honneur aux Invalides avec Madame Jacques CHIRAC""",2006-03-29,
20100562/853,4681,"""Entretien de monsieur le Président de la République avec son altesse royale le Prince Saoud Al faysal Bin Abdulaziz Al Saoud ministre des Affaires étrangères du royaume d'Arabie Saoudite""",2006-03-30,
20100562/854,4682,"""Entretien avec CONDOLEEZZA RICE, secrétaire d'État des États-Unis d'Amérique""",2006-03-30,
20100562/855,4683,"""Déjeuner offert par Madame Jacques Chirac à l'association du Pont-Neuf""",2006-03-31,
20100562/856,4684,"""Intervention télévisée de Monsieur le Président de la République pour le CPE (Contrat première embauche)""",2006-03-31,
20100562/857,4685,"""Entretien avec TAIEB FASSI FIHRI ministre délégué aux Affaires étrangères et à la Coopération du royaume du Maroc""",2006-04-01,
20100562/858,4687,"""Cérémonie de remise des insignes d'Officier de la Légion d'honneur à Maitre Basile YARED""",2006-04-01,
20100562/859,4688,"""Messe à la mémoire du Président Georges POMPIDOU à l'église Saint-Louis""",2006-04-03,
20100562/860,4689,"""Entretien du Président de la République avec KAZIMIERZ MARCINKIEWICZ Premier ministre de POLOGNE""",2006-04-03,
20100562/861,4690,"""Rencontre avec le Président de la République du Club "" Entreprise et handicap""""",2006-04-07,
20100562/862,4691,"""Déplacement de Madame Jacques Chirac et de Monsieur Douste-Blazy ministre des Affaires étrangères à KABOUL""",2006-04-07,
20100562/863,4692,"""Cérémonie de remise de lettres de créance des ambassadeurs accrédités en Andorre""",2006-04-07,
20100562/864,4693,"""Obsèques du général d'Armée Alain de BOISSIEU à l'hôtel des Invalides""",2006-04-08,
20100562/865,4694,"""Réunion de présentation au Président de la République de la proposition de loi sur le CPE à l'issue des travaux conduits par les deux présidents de groupe UMP en étroite liaison avec le gouvernement et les représentants de la majorité""",2006-04-10,
20100562/866,4695,"""Entretien avec JOSE SOCRATES Premier ministre du Portugal""",2006-04-10,
20100562/867,4696,"""Entretien de Monsieur le Président de la République avec Édouard MICHELIN gérant du Groupe MICHELIN""",2006-04-11,
20100562/868,4697,"""Remise du rapport d'activité 2005 de la commission Nationale de Déontologie de la Sécurité par Monsieur TRUCHE et Monsieur DUHAMEL à Monsieur BLANGY, en présence de Messieurs MASSONI ET MELLOTTEE""",2006-04-11,
20100562/869,4698,"""Déjeuner offert par Monsieur le Président de la République en l'honneur de VOJISLAV KOSTUNICA Premier ministre de SERBIE""",2006-04-11,
20100562/870,4699,"""Interview de Monsieur le Président de la République pour le quotidien égyptien Al-Ahram""",2006-04-11,
20100562/871,4700,"""Entretien de Monsieur le Président de la République avec Charles KONAN BANNY Premier ministre de la République de Côte-d'Ivoire""",2006-04-11,
20100562/872,4701,"""Entretien de Monsieur le Président de la République avec SAAD HARIRI Président du Mouvement pour le futur LIBAN""",2006-04-12,
20100562/873,4702,"""Visite officielle de Monsieur le Président de la République et de Madame Jacques CHIRAC au CAIRE""",2006-04-19,
20100562/874,4703,"""Messe en hommage à Marcel DASSAULT aux Invalides""",2006-04-21,
20100562/875,4704,"""Entretien de Monsieur le Président de la République avec WILFRID GUY LICARI Délégué général du QUEBEC""",2006-04-21,
20100562/876,4705,"""Entretien de Monsieur le Président de la République avec HUI LIANGYU vice Premier ministre de la République Populaire de CHINE""",2006-04-21,
20100562/877,4706,"""Réception offerte par Monsieur le Président de la République en l'honneur des médaillés aux Jeux olympiques et paralympiques de TURIN, précédée d'une remise de décorations.""",2006-04-24,
20100562/878,4707,"""Entretien de Monsieur le Président de la République avec CHEIKH ABADALLAH BIN KHALIFA AL -THANI Premier ministre de l'État du QATAR""",2006-04-24,
20100562/879,4708,"""Entretien de Monsieur le Président de la République avec THAKSIN SHINAWATRA Premier ministre du Royaume de THAILANDE""",2006-04-25,
20100562/880,4709,"""Réception offerte par Monsieur le Président de la République à l'occasion de la présentation des actions de l'agence de l'innovation industrielle""",2006-04-25,
20100562/881,4711,"""Entretien avec YACINE DIOUF filleule de Monsieur le Président de la République et ses enfants""",2006-04-25,
20100562/882,4712,"""Entretien avec AMIR MOUSSA, secrétaire général de la Ligue Arabe""",2006-04-26,
20100562/883,4713,"""Allocution de Monsieur le Président consacrée à la lutte contre le cancer""",2006-04-27,
20100562/884,4714,"""Entretien avec Mahmoud ABBAS, Président de l'Autorité palestinienne""",2006-04-28,
20100562/885,4715,"""Entretien avec Son Éminence le Cardinal RICARD, Président de la conférence des Évêques de France""",2006-04-28,
20100562/886,4716,"""Remise de lettres de créance : OUGANDA, PHILIPPINES, Portugal, ARGENTINE, ERYTHREE, ETHIOPIE""",2006-04-28,
20100562/887,4717,"""88ème Finale de la Coupe de France au Stade de France Olympique de Marseille / Paris-Saint-Germain""",2006-04-29,
20100562/888,4718,"""Cérémonie de remise du muguet en présence de Monsieur le Président de la République et de Madame Jacques CHIRAC""",2006-05-01,
20100562/889,4719,"""Entretien avec Georges BUSH senior, ancien président des États-Unis d'Amérique""",2006-05-01,
20100562/890,4720,"""Remise de rapport de la HALDE par son président, Louis SCHWEITZER""",2006-05-02,
20100562/891,4721,"""Déjeuner offert en l'honneur de Mikulas DZURINDA, Premier ministre de la République SLOVAQUE""",2006-05-02,
20100562/892,4722,"""Entretien avec une délégation de l'United Jewish Appeal""",2006-05-02,
20100562/893,4723,"""Entretien avec KAPIL SIBAL, ministre de la Recherche de la République de l'INDE""",2006-05-03,
20100562/894,4724,"""Entretien avec Mohamed GHANNOUCHI, Premier ministre de la République de TUNISIE""",2006-05-03,
20100562/895,4725,"""Entretien avec SCHOICHIRO TOYODA, Président d'honneur de TOYOTA Motor Corporation""",2006-05-04,
20100562/896,4726,"""Installation du Comité stratégique pour le numérique suivie d'une réception""",2006-05-04,
20100562/897,4727,"""Entretien de Madame Jacques CHIRAC avec ZORKA PARVANOVA, Première dame de la République de BULGARIE""",2006-05-04,
20100562/898,4728,"""Cérémonie de remise de décorations : Jacques FRIEDMANN, Pierre WEILL, Raymond SOUBIE, Claude-Gérard MARCUS, Henri PROGLIO, Francis ROL-TANGUY, Geneviève ROUCHON, Roch-Olivier MAISTRE, Jean PIAT, Francis MAYER, Annette WIEVIORKA, Jacqueline SANSON""",2006-05-05,
20100562/899,4729,"""Remise du rapport de la Banque de France par Christian NOYER""",2006-05-05,
20100562/900,4730,"""Cérémonie du 8 Mai, place de l'Etoile et place Clémenceau""",2006-05-08,
20100562/901,4731,"""Déclaration de Monsieur Jacques CHIRAC Président de la République à propos de l'affaire Clearstream""",2006-05-10,
20100562/902,4732,"""Cérémonie organisée à l'occasion de la première journée commémorative du souvenir de l'esclavage et de son abolition.""",2006-05-10,
20100562/903,4733,"""Réception offerte par madame Jacques CHIRAC en l'honneur du 60ème anniversaire de l'association C.A.R.E""",2006-05-11,
20100562/904,4734,"""Déplacement de monsieur le Président de la République en République Fédérale d'Autriche lors du Vème sommet Union Européenne/Amérique latine/Caraïbes""",2006-05-11,
20100562/905,4735,"""Entretien avec les patriarches catholiques orientaux""",2006-05-15,
20100562/906,4736,"""Entretien suivi d'un déjeuner de sa Béatitude Éminentissime MAR NASRALLAH BOUTROS CARDINAL SFEIR patriarche maronite d'Antioche et de tout l'Orient""",2006-05-15,
20100562/907,4737,"""Entretien avec JAKAYA M.ISHO KIKIWETE Président de la République Unie de Tanzanie""",2006-05-16,
20100562/908,4738,"""Déjeuner avec les chefs d'États africains présents à Paris à l'occasion de la remise du prix Félix Houphouët-Boigny pour la recherche de la Paix""",2006-05-16,
20100562/909,4739,"""Remise du prix HOUPHOUET-BOIGNY pour la recherche de la Paix au président du Sénégal Abdoulaye WADE à l'Unesco à Paris""",2006-05-16,
20100562/910,4740,"""Entretien avec Nicanor DUARTE FRUTOS Président de la République du PARAGUAY""",2006-05-17,
20100562/911,4741,"""Entretien avec Lawrence GONZI Premier ministre de la République de Malte""",2006-05-17,
20100562/912,4742,"""Présentation au Président de la République des actions engagées par la SNCF et Réseau Ferré de France pour les personnes handicapées""",2006-05-18,
20100562/913,4743,"""Rapport du Conseil Supérieur de la Magistrature""",2006-05-19,
20100562/914,4744,"""Interview de Monsieur le Président de la République par Télé GLOBO, Télévision Brésilienne""",2006-05-19,
20100562/915,4745,"""Interview de Monsieur le Président de la République par le Journal MERCURIO (CHILI)""",2006-05-19,
20100562/916,4746,"""Inauguration par Monsieur le Président de la République du pont de la HARD-ERICH DILGER reliant les communes de Fessenheim (F) et d'Hartheim (RFA) puis inauguration du tramway de Mulhouse""",2006-05-20,
20100562/917,4747,"""Visite d'État de Monsieur le Président de la République au BRESIL""",2006-05-24,
20100562/918,4748,"""Visite d’État de Monsieur le Président de la République au CHILI""",2006-05-26,
20100562/919,4749,"""Entretien avec ILHAM ALIEV Président de la République d'Azerbaïdjan""",2006-05-30,
20100562/920,4750,"""Entretien de Monsieur le Président de la République avec TRAIAN BASESCU Président de ROUMANIE""",2006-05-30,
