N°Reportage,Date,Intitulé,Lieux,Photographe
70111,09/07/07,"Entretien avec GastonTONG-SANG, Président dela Polynésie Française",Élysée,A.Roine
70112,09/07/07,Réunion de l'Eurogroupe àBruxelles,Belgique,D.Noizet
70113,10/07/07,Déplacement à Alger,Algérie,M.Klein
70114,10/07/07,Déplacement à Tunis,Tunisie,M.Klein
70116,12/07/07,"Entretien avec SolanaMADRIAGA, SecrétaireGénéral du Conseil del'Union Européen",Élysée,M.Klein
70117,12/07/07,"Entretien avec RobertKOTCHARIAN, Présidentde la République d'Arménie",Élysée,A.Roine
70118,12/07/07,"Décoration collective:Georges OUEGNIN, RolandNUNGESSER, MoniquePELLETIER, Jean-PaulFOURNIER, SophieDEVEDJEAN, LINDAWEIL-CURIEL, WarisDIRIE, AlainTERRENOIRE, Maud",Élysée,Noizet/Roine
,,FONTENOY,,
70119,12/07/07,Déplacement à Épinal sur lethème de la démocratieirréprochable,Vosges,A.Roine
70120,13/07/07,Visite des forces nucléairesfrançaises à Landivisiau etîle Longue,Finistère,D.Noizet
70121,13/07/07,Déplacement à la caserne deGendarmerie de Malakoffsuite au drame survenue cejour,Hauts-de-Seine,D.Noizet
70122,13/07/07,Garden party du Ministèrede la défense,Paris,M.Klein
70123,13/07/07,Garden party du Ministèrede l'Outre-mer,Paris,M.Klein
70124,13/07/07,Garden party du Ministèrede la Justice,Paris,M.Klein
70126,14/07/07,Cérémonie du 14 Juillet,Paris,D.Noizet
70127,14/07/07,Garden party de l'Élysée,Élysée,D.Noizet
70128,14/07/07,"1ère édition de la soirée""Champ Libre "" le concert dela fraternité",Paris,D.Noizet
70129,16/07/07,Sommet Franco-allemand àToulouse,Haute-Garonne,M.Klein
70130,16/07/07,"Entretien avec John G.ROBERT, Président de laCour suprême des États-Unisd'Amérique",Élysée,D.Noizet
70131,17/07/07,Déplacement sur la 9èmeétape du Tour de France àBriançon,Hautes-Alpes,D.Noizet
70132,18/07/07,Installation du comité deréflexion et de propositionsur la modernisation et lerééquilibrage des institutionsde la Vème République,Élysée,M.Klein
70134,18/07/07,Entretien avec le PrinceAlbert II de Monaco,Élysée,A.Roine
70135,18/07/07,"Entretien avec Boni YAYI,Président du Bénin",Élysée,D.Noizet
070135bis,19/07/07,"Entretien Avec BenitaFERRERO-WALDNER,commissaire en charge desrelations extérieures del'Union Européenne",Élysée,M.Klein
70136,19/07/07,Rencontre avec des chefsd'entreprises ayantdéveloppés l'actionnariat,Élysée,M.Klein
,,salarié,,
70137,19/07/07,"Entretien avec Idriss DEBYITNO, Président du TCHAD",Élysée,M.Klein
70138,20/07/07,"Entretien avec GordonBrown, Premier Ministre duRoyaume-Uni",Élysée,A.Roine
70139,20/07/07,"Déjeuner avec CheikKhalifa Bin ZAYED ALNAYAN, Président desÉmirats Arabes Unis",Élysée,M.Klein
70140,20/07/07,Visite du Mémorial de laShoah,Paris,M.Klein
70141,23/07/07,Déplacement à Marcoussisau centre nationald'entraînement de l'équipe deFrance de rugby (ArnaudRoine),Essonne,A.Roine
70142,23/07/07,"Entretien avec AbdouDIOUF, Président de laFrancophonie",Élysée,M.Klein
70143,24/07/07,Conférence de presse sur à lalibération des infirmièresbulgares,Élysée,A.Roine
070143bis,24/07/07,Entretien avec le CRIF,Élysée,M.Klein
70144,25/07/07,Visite Officielle à Tripoli,Libye,Roine/Klein
70145,26/07/07,Visite Officielle à Dakar,Sénégal,Roine/Klein
70146,27/06/07,Visite Officielle à Libreville,Gabon,Roine/Klein
70147,30/07/07,"Remise de lettres de créanceUkraine, Suisse, Guinée etAllemagne",Élysée,A.Roine
70148,30/07/07,"Entretien avec CostaCARAMANLIS, PremierMinistre de la RépubliqueHellénique",Élysée,A.Roine
70149,30/07/07,Obsèques militaires del'adjudant-chef CORREIA etl'adjudant-chefLALLOYEAU aux Invalides,Paris,A.Roine
70151,31/07/07,Déplacement à Dax sur lethème de la solidarité et desrelationsintergénérationnelles,Les Landes,A.Roine
70154,01/08/07,Conseil des ministres,Élysée,M.Klein
70155,01/08/07,Visite de la DirectionDépartementale de Sécurité,Essonne,M.Klein
,,Publique et du Commissariatd'Évry,,
70156,01/08/07,"Entretien suivi d'un dîneravec Mohamed HosniMOUBARAK, Président dela République Arabed'Égypte",Élysée,M.Klein
70157,10/08/07,Obsèques du Cardinal Jean-Marie LUSTIGER à lacathédrale Notre-Dame deParis,Paris,L.Blevennec
70158,20/08/07,Réunion interministériellesur la croissance économique,Élysée,D.Noizet
70159,20/08/07,"Entretien avec MustaphaKOCAKURT, père du petitEnis",Élysée,D.Noizet
70160,20/08/07,"Réunion interministériellesur l'immigration, sur larécidive suivie d'unedéclaration du Président dela République",Élysée,D.Noizet
70161,22/08/07,"Obsèques de BernardJOBARD, marin pêcheur àPlouescat",Finistère,D.Noizet
70162,23/08/07,"Entretien avec PatrickVIERA, capitaine del'équipe de France deFootball",Élysée,D.Noizet
70163,23/08/07,Installation de lacommission chargéed'élaborer un nouveau LivreBlanc sur la défense et lasécurité nationale,Élysée,D.Noizet
70164,23/08/07,Entretien avec la familleKIEFFER,Élysée,D.Noizet
70165,23/08/07,Entretien avec Chouaieaccompagné de son pèreBianvanga LUSIKANA,Élysée,D.Noizet
70166,24/08/07,"Déplacement à Bayonne,Saint Jean de Luz etArcachon sur le thème de lalutte contre le terrorisme, lapêche et le tourisme",PaysBasque/LesLandes,D.Noizet
70167,27/08/07,XVème conférence desAmbassadeurs,Élysée,Noizet/Blevennec
70168,27/08/07,Entretien avec Jean-ClaudeMAILLY,Élysée,L.Blevennec
70169,27/08/07,Remise du Premier bilanannuel du Haut Conseil del'Éducation sur les résultats,Élysée,L.Blevennec
,,du système éducatif del'école primaire,,
70170,28/08/07,"Déplacement à Bocognano,Porto-Vecchio, Saint-Florent et Bastia sur lethème de l'aménagement etdu développement duterritoire insulaire et lesvictimes du racket",Corse duSud/HauteCorse,L.Blevennec
70171,29/08/07,"Entretien avec BernardTHIBAULT, SecrétaireGénéral de la CGT",Élysée,L.Blevennec
70172,29/08/07,Réunion avec les élusantillais sur les mesuresd'indemnisation engagéesaprès le passage du cycloneDEAN,Élysée,L.Blevennec
70173,29/08/07,Obsèques de RaymondBARRE à Paris,Paris,D.Noizet
70174,30/08/07,Installation de lacommission JacquesATTALI sur les freins à lacroissance,Élysée,L.Blevennec
70175,30/08/07,"Entretien avec YvetteJOBARD, épouse du marinpêcheur décédé dans leFinistère",Élysée,D.Noizet
70176,30/08/07,"Déjeuner avec José ManuelBARROSO, Président de laCommission européenne",Élysée,D.Noizet
70177,30/08/07,Universités d'été du MEDEFà Jouy-en-Josas,Yvelines,D.Noizet
70178,31/08/07,Déplacement au centrecommercial E.LECLERC deBois d'Arcy sur le thème dupouvoir d'achat,Yvelines,L.Blevennec
70179,31/08/07,"Entretien avec BernardVAN CRAEYNEST,Président de la CFE-CGC",Élysée,L.Blevennec
70180,03/09/07,"Entretien avec JacquesVoisin, Secrétaire général dela CFTC",Élysée,L.Blevennec
70181,03/09/07,Déjeuner avec le RoiAbdullah II de Jordanie,Élysée,D.Noizet
70182,03/09/07,Accueil de Nelson Mandelaà Orly,Val-de-Marne,A.Roine
70183,03/09/07,Installation de lacommission Alzheimer,Élysée,A.Roine
70184,04/09/07,Déplacement à Blois sur lethème de l'Éducation,Loir-et-Cher,A.Roine
70185,04/09/07,Obsèques de PierreMESMER aux Invalides,Paris,D.Noizet
70187,04/09/07,Entretien avec HubertVEDRINE pour la remisedu rapport sur la France et lamondialisation,Élysée,A.Roine
70188,04/09/07,Entretien suivi d'un dîneravec Nelson MANDELA,Élysée,A.Roine
70189,05/09/07,"Entretien avec LaurencePARISOT, Présidente duMEDEF",Élysée,A.Roine
70190,05/09/07,"Entretien avec EdmundSTOIBER, Président deland de Bavière et Présidentde la CSU",Élysée,A.Roine
70191,05/09/07,Entretien avec FabriceDELLOYE ex mari d'IngridBETANCOURT,Élysée,D.Noizet
70192,05/09/07,Entretien avec SandrineBONNAIRE,Élysée,D.Noizet
70193,05/09/07,Réception avec lespersonnels de la sécuritécivile engagés en renfort enGrèce,Élysée,A.Roine
70194,06/09/07,Bicentenaire du Code ducommerce au tribunal decommerce,Paris,D.Noizet
70195,06/09/07,"Déplacement à Mulhouse,Colmar et Strasbourg",Haut-Rhin/BasRhin,A.Roine
70196,07/09/07,Conseil des ministresdécentralisé à Strasbourg,Bas Rhin,A.Roine
70197,10/07/07,Sommet Franco-allemand àMeseberg,Allemagne,A.Roine
70198,10/07/07,Entretien suivi d'un dîneravec les Premier Ministre duQatar,Élysée,M.Klein
70199,11/09/07,Inauguration du salonagricole SPACE à Rennes,Ille-et-Vilaine,M.Klein
70200,11/09/07,Obsèques du LieutenantPierre MEHN à Strasbourg,Bas Rhin,L.Blevennec
70202,12/09/07,Interview pour l'émissionVivement Dimanche parMichel Drucker,Élysée,M.Klein
70203,13/09/07,Remise du prix de l'audacecréatrice,Élysée,M.Klein
70204,14/09/07,Visite officielle à Budapest,Hongrie,M.Klein
70205,15/09/07,Journées du patrimoine,Élysée,M.Klein
70206,17/09/07,"Entretien avec HenryPAULSON, Secrétaired'État au trésor américain",Élysée,D.Noizet
70207,17/09/07,Inauguration e la Cité del'Architecture et duPatrimoine au Palais deChaillot,Paris,M.Klein
70208,17/09/07,Déjeuner avec les architectesdu monde,Élysée,D.Noizet
70209,18/09/07,"Entretien avec JacquesBARROT, vice-président dela commission européennedes transports et JosephDAUL, Président du groupePPE au Parlement Européen",Élysée,A.Roine
70210,18/09/07,Allocution à l'occasion du40ème anniversaire del'association des journalistesde l'information sociale auPalais du Luxembourg,Paris,M.Klein
70212,19/09/07,"Cérémonie d'hommage auxrésistants fusillés du 22Octobre 1941, dont GuyMoquet à Châteaubriant,Visite de la maison deservice public à Riaillé etVisite de l'Institut Régionald'Administration à Nantes",Loire-Atlantique,L.Blevennec
70213,19/09/07,Cérémonie à la mémoire desvictimes du terrorisme auxInvalides,Paris,D.Noizet
70216,21/09/07,Allocution à l'occasion de lajournée mondiale contre lamaladie d'Alzheimer à laCité des sciences et del'Industrie,Paris,A.Roine
70217,21/09/07,"Entretien avec BertieAHERN, Premier Ministred'Irlande",Élysée,L.Blevennec
70218,23/09/07,62 ème assemblée généraledes Nation-Unie à New-York,États-Unis,D.Noizet
70219,26/09/07,Entretien avec SuryaBONALY (contre la corrida),Élysée,M.Klein
70220,26/09/07,"Entretien avec le Dr SeinWIN, Premier Ministre dugouvernement de Birmanieen exil",Élysée,L.Blevennec
70221,27/09/07,Entretien avec BrigitteBARDOT et Ghyslaine,Élysée,A.Roine
,,CALMELS-BOCK,,
70223,27/09/07,Remise de décoration àRobert Bourgi,Élysée,L.Blevennec
70224,28/09/07,"Entretien avec AhmedAbdallah MohamedSAMBI, Président del'Union des Comores",Élysée,A.Roine
70225,28/09/07,"Entretien avec MichelBOYON, Président du CSA",Élysée,L.Blevennec
70226,28/09/07,Déclaration du Président dela République suite àl'élection de DominiqueSTRAUSS-KAHN commeDirecteur Général du FMI,Élysée,L.Blevennec
70227,28/09/07,Remise de décoration àTony PARKER,Élysée,M.Klein
70228,29/09/07,Déplacement à l'occasion du114ème congrès de lafédération nationale desSapeurs-Pompiers àClermont-Ferrand,Puy-de-Dôme,M.Klein
70229,01/10/07,"Entretien avec DominiqueStrauss-Kahn, Président duFMI",Élysée,M.Klein
70230,01/10/07,Remise de décoration àDavid Lynch,Élysée,M.Klein
70231,01/10/07,"Entretien avec Jean Kahn,Président du ConsistoireCentral de France",Élysée,L.Blevennec
